latitude,longitude
1.44255,103.7958
1.33235,103.78520999999999
1.44246,103.79666999999999
1.34541,103.95711999999999
1.3456700000000001,103.95963
1.34702,103.96103000000001
1.34348,103.96337
1.3239100000000001,103.91277
1.3239100000000001,103.91277
1.3239100000000001,103.91277
1.28875,103.80814000000001
1.28837,103.81099
1.31125,103.83816
1.31724,103.88958000000001
1.28976,103.80896
1.28677,103.81244000000001
1.2853700000000001,103.81087
1.34943,103.95951
1.3142,103.90231999999999
1.3115,103.83759
1.31159,103.83805
1.29345,103.83561999999999
1.34838,103.9592
1.3628,103.86446
1.34816,103.93238000000001
1.34135,103.71139000000001
1.33171,103.79383
1.3010899999999999,103.85234
1.31016,103.79853
1.30901,103.79639
1.36743,103.87288000000001
1.30792,103.92286999999999
1.27663,103.84521
1.30416,103.90075999999999
1.35001,103.87161
1.37527,103.94561999999999
1.34143,103.84945
1.2841,103.84253000000001
1.39963,103.9064
1.28342,103.78585
1.30292,103.82253
1.28909,103.80749
1.30492,103.90315
1.30425,103.90097
1.29839,103.82808
1.31313,103.91479
1.27681,103.82381
1.36792,103.89826
1.28291,103.84284
1.36775,103.89855
1.3123,103.8568
1.36885,103.8731
1.27529,103.84494000000001
1.28429,103.84297
1.3736899999999999,103.87847
1.33334,103.8327
1.29245,103.83742
1.38123,103.76874000000001
1.36764,103.90228
1.31189,103.85901
1.2963799999999999,103.87281999999999
1.31617,103.82694000000001
1.31503,103.82614000000001
1.3150700000000002,103.82704
1.31,103.90321
1.2838,103.84265
1.31213,103.8561
1.2845799999999998,103.84311
1.2927,103.7685
1.2927,103.7685
1.31511,103.88946999999999
1.31259,103.91067
1.28386,103.84238
1.42977,103.78311
1.44412,103.76859
1.4356799999999998,103.77544
1.42275,103.78756
1.42426,103.7777
1.42269,103.77639
1.42759,103.77932
1.32889,103.90799999999999
1.29211,103.836
1.3305,103.8424
1.30768,103.82016999999999
1.30774,103.86332
1.30844,103.85875
1.32359,103.8498
1.31118,103.87366999999999
1.30341,103.83365
1.28419,103.82765
1.2841,103.84253000000001
1.30494,103.90306
1.39088,103.85303
1.3412600000000001,103.75992
1.33917,103.82306
